position,team,games,wins,points
1,Тампа-Бэй Лайтнинг,42,55,
2,Каролина Харрикейнз,43,55,
3,Монреаль Канадиенс,43,54,
4,Детройт Ред Уингз,44,54,
5,Нью-Йорк Айлендерс,43,52,
6,Филадельфия Флайерз,41,51,
7,Вашингтон Кэпиталз,44,50,
8,Питтсбург Пингвинз,41,49,
9,Баффало Сэйбрз,41,48,
10,Флорида Пантерз,42,47,
11,Торонто Мэйпл Лифс,42,47,
12,Бостон Брюинз,43,46,
13,Нью-Джерси Дэвилз,43,46,
14,Нью-Йорк Рейнджерс,44,46,
15,Оттава Сенаторз,42,45,
16,Коламбус Блю Джекетс,42,43,
1,Колорадо Эвеланш,42,69,
2,Даллас Старз,44,60,
3,Миннесота Уайлд,44,58,
4,Вегас Голден Найтс,41,48,
5,Эдмонтон Ойлерз,43,48,
6,Сиэтл Кракен,41,47,
7,Сан-Хосе Шаркс,43,47,
8,Лос-Анджелес Кингз,42,46,
9,Анахайм Дакс,43,45,
10,Юта Мамонт,44,45,
11,Чикаго Блэкхоукс,43,43,
12,Нэшвилл Предаторз,42,42,
13,Сент-Луис Блюз,44,42,
14,Калгари Флэймз,43,40,
15,Ванкувер Кэнакс,42,37,
16,Виннипег Джетс,41,35,
